,Age,Fare,f1000,f1001
205,2.0,10.46,2.523,2.523
206,32.0,15.85,3.867,3.867
207,26.0,18.78,3.803,3.803
208,16.0,7.75,3.168,3.168
209,40.0,31.0,4.26,4.26
210,24.0,7.05,3.436,3.436
211,35.0,21.0,4.023,4.023
212,22.0,7.25,3.375,3.375
213,30.0,13.0,3.762,3.762
214,,7.75,,
215,31.0,113.25,4.973,4.973
216,27.0,7.926,3.553,3.553
217,42.0,27.0,4.234,4.234
218,32.0,76.3,4.684,4.684
219,30.0,10.5,3.701,3.701
220,16.0,8.05,3.18,3.18
221,27.0,13.0,3.69,3.69
222,51.0,8.05,4.08,4.08
223,,7.895,,
224,38.0,90.0,4.85,4.85
225,22.0,9.35,3.445,3.445
226,19.0,10.5,3.385,3.385
227,20.5,7.25,3.322,3.322
228,18.0,13.0,3.434,3.434
229,,25.47,,
230,35.0,83.5,4.773,4.773
231,29.0,7.773,3.605,3.605
232,59.0,13.5,4.285,4.285
233,5.0,31.39,3.594,3.594
234,24.0,10.5,3.541,3.541
235,,7.55,,
236,44.0,26.0,4.25,4.25
237,8.0,26.25,3.533,3.533
238,19.0,10.5,3.385,3.385
239,33.0,12.27,3.812,3.812
240,,14.45,,
241,,15.5,,
242,29.0,10.5,3.676,3.676
243,22.0,7.125,3.371,3.371
244,30.0,7.227,3.617,3.617
245,44.0,90.0,4.9,4.9
246,25.0,7.773,3.49,3.49
247,24.0,14.5,3.65,3.65
248,37.0,52.56,4.496,4.496
249,54.0,26.0,4.383,4.383
250,,7.25,,
251,29.0,10.46,3.676,3.676
252,62.0,26.55,4.484,4.484
253,30.0,16.1,3.83,3.83
254,41.0,20.22,4.113,4.113
255,29.0,15.24,3.79,3.79
256,,79.2,,
257,30.0,86.5,4.758,4.758
258,35.0,512.5,6.305,6.305
259,50.0,26.0,4.332,4.332
260,,7.75,,
261,3.0,31.39,3.537,3.537
262,52.0,79.6,4.88,4.88
263,40.0,0.0,3.69,3.69
264,,7.75,,
265,36.0,10.5,3.84,3.84
266,16.0,39.7,4.02,4.02
267,25.0,7.773,3.49,3.49
268,58.0,153.5,5.355,5.355
269,35.0,135.6,5.14,5.14
270,,31.0,,
271,25.0,0.0,3.219,3.219
272,41.0,19.5,4.1,4.1
273,37.0,29.7,4.2,4.2
274,,7.75,,
275,63.0,77.94,4.95,4.95
276,45.0,7.75,3.965,3.965
277,,0.0,,
278,7.0,29.12,3.588,3.588
279,35.0,20.25,4.01,4.01
280,65.0,7.75,4.285,4.285
281,28.0,7.855,3.58,3.58
282,16.0,9.5,3.238,3.238
283,19.0,8.05,3.297,3.297
284,,26.0,,
285,33.0,8.664,3.73,3.73
286,30.0,9.5,3.676,3.676
287,22.0,7.895,3.398,3.398
288,42.0,13.0,4.008,4.008
289,22.0,7.75,3.393,3.393
290,26.0,78.9,4.652,4.652
291,19.0,91.06,4.703,4.703
292,36.0,12.875,3.889,3.889
293,24.0,8.85,3.492,3.492
294,24.0,7.895,3.463,3.463
295,,27.72,,
296,23.5,7.23,3.426,3.426
297,2.0,151.5,5.035,5.035
298,,30.5,,
299,50.0,247.5,5.695,5.695
300,,7.75,,
301,,23.25,,
302,19.0,0.0,2.945,2.945
303,,12.35,,
304,,8.05,,
305,0.92,151.5,5.027,5.027
306,,110.9,,
307,17.0,108.9,4.836,4.836
308,30.0,24.0,3.988,3.988
309,30.0,56.94,4.465,4.465
310,24.0,83.2,4.676,4.676
311,18.0,262.5,5.637,5.637
312,26.0,26.0,3.951,3.951
313,28.0,7.895,3.58,3.58
314,43.0,26.25,4.24,4.24
315,26.0,7.855,3.521,3.521
316,24.0,26.0,3.912,3.912
317,54.0,14.0,4.22,4.22
318,31.0,164.9,5.277,5.277
319,40.0,134.5,5.16,5.16
320,22.0,7.25,3.375,3.375
321,27.0,7.895,3.553,3.553
322,30.0,12.35,3.746,3.746
323,22.0,29.0,3.932,3.932
324,,69.56,,
325,36.0,135.6,5.145,5.145
326,61.0,6.24,4.207,4.207
327,36.0,13.0,3.893,3.893
328,31.0,20.53,3.941,3.941
329,16.0,57.97,4.305,4.305
330,,23.25,,
331,45.5,28.5,4.305,4.305
332,38.0,153.5,5.254,5.254
333,16.0,18.0,3.525,3.525
334,,133.6,,
335,,7.895,,
336,29.0,66.6,4.56,4.56
337,41.0,134.5,5.168,5.168
338,45.0,8.05,3.97,3.97
339,45.0,35.5,4.387,4.387
340,2.0,26.0,3.332,3.332
341,24.0,263.0,5.66,5.66
342,28.0,13.0,3.713,3.713
343,25.0,13.0,3.637,3.637
344,36.0,13.0,3.893,3.893
345,24.0,13.0,3.611,3.611
346,40.0,13.0,3.97,3.97
347,,16.1,,
348,3.0,15.9,2.94,2.94
349,42.0,8.664,3.926,3.926
350,23.0,9.23,3.473,3.473
351,,35.0,,
352,15.0,7.23,3.102,3.102
353,25.0,17.8,3.756,3.756
354,,7.227,,
355,28.0,9.5,3.625,3.625
356,22.0,55.0,4.344,4.344
357,38.0,13.0,3.932,3.932
358,,7.88,,
359,,7.88,,
360,40.0,27.9,4.22,4.22
361,29.0,27.72,4.04,4.04
362,45.0,14.45,4.086,4.086
363,35.0,7.05,3.738,3.738
364,,15.5,,
365,30.0,7.25,3.617,3.617
366,60.0,75.25,4.906,4.906
367,,7.23,,
368,,7.75,,
369,24.0,69.3,4.535,4.535
370,25.0,55.44,4.387,4.387
371,18.0,6.496,3.2,3.2
372,19.0,8.05,3.297,3.297
373,22.0,135.6,5.06,5.06
374,3.0,21.08,3.182,3.182
375,,82.2,,
376,22.0,7.25,3.375,3.375
377,27.0,211.5,5.473,5.473
378,20.0,4.01,3.178,3.178
379,19.0,7.773,3.287,3.287
380,42.0,227.5,5.598,5.598
381,1.0,15.74,2.818,2.818
382,32.0,7.926,3.688,3.688
383,35.0,52.0,4.465,4.465
384,,7.895,,
385,18.0,73.5,4.516,4.516
386,1.0,46.9,3.87,3.87
387,36.0,13.0,3.893,3.893
388,,7.73,,
389,17.0,12.0,3.367,3.367
390,36.0,120.0,5.05,5.05
391,21.0,7.797,3.36,3.36
392,28.0,7.926,3.582,3.582
393,23.0,113.25,4.914,4.914
394,24.0,16.7,3.707,3.707
395,22.0,7.797,3.395,3.395
396,31.0,7.855,3.66,3.66
397,46.0,26.0,4.277,4.277
398,23.0,10.5,3.512,3.512
399,28.0,12.65,3.705,3.705
400,39.0,7.926,3.848,3.848
401,26.0,8.05,3.527,3.527
402,21.0,9.83,3.428,3.428
403,28.0,15.85,3.781,3.781
404,20.0,8.664,3.355,3.355
405,34.0,21.0,4.008,4.008
406,51.0,7.75,4.074,4.074
407,3.0,18.75,3.08,3.08
408,21.0,7.773,3.36,3.36
409,,25.47,,
410,,7.895,,
411,,6.86,,
412,33.0,90.0,4.812,4.812
413,,0.0,,
414,44.0,7.926,3.95,3.95
415,,8.05,,
416,34.0,32.5,4.195,4.195
417,18.0,13.0,3.434,3.434
418,30.0,13.0,3.762,3.762
419,10.0,24.16,3.531,3.531
420,,7.895,,
421,21.0,7.734,3.357,3.357
422,29.0,7.875,3.607,3.607
423,28.0,14.4,3.748,3.748
424,18.0,20.22,3.643,3.643
425,,7.25,,
426,28.0,26.0,3.988,3.988
427,19.0,26.0,3.807,3.807
428,,7.75,,
429,32.0,8.05,3.69,3.69
430,28.0,26.55,4.0,4.0
431,,16.1,,
432,42.0,26.0,4.22,4.22
433,17.0,7.125,3.184,3.184
434,50.0,55.9,4.664,4.664
435,14.0,120.0,4.9,4.9
436,21.0,34.38,4.016,4.016
437,24.0,18.75,3.756,3.756
438,64.0,263.0,5.79,5.79
439,31.0,10.5,3.727,3.727
440,45.0,26.25,4.266,4.266
441,20.0,9.5,3.385,3.385
442,25.0,7.773,3.49,3.49
443,28.0,13.0,3.713,3.713
444,,8.11,,
445,4.0,81.9,4.453,4.453
446,13.0,19.5,3.48,3.48
447,34.0,26.55,4.1,4.1
448,5.0,19.27,3.19,3.19
449,52.0,30.5,4.414,4.414
450,36.0,27.75,4.156,4.156
451,,19.97,,
452,30.0,27.75,4.055,4.055
453,49.0,89.1,4.93,4.93
454,,8.05,,
455,29.0,7.895,3.607,3.607
456,65.0,26.55,4.516,4.516
457,,51.88,,
458,50.0,10.5,4.1,4.1
459,,7.75,,
460,48.0,26.55,4.312,4.312
461,34.0,8.05,3.738,3.738
462,47.0,38.5,4.45,4.45
463,48.0,13.0,4.11,4.11
464,,8.05,,
465,38.0,7.05,3.809,3.809
466,,0.0,,
467,56.0,26.55,4.414,4.414
468,,7.727,,
469,0.75,19.27,2.996,2.996
470,,7.25,,
471,38.0,8.664,3.844,3.844
472,33.0,27.75,4.105,4.105
473,23.0,13.79,3.605,3.605
474,22.0,9.836,3.46,3.46
475,,52.0,,
476,34.0,21.0,4.008,4.008
477,29.0,7.047,3.584,3.584
478,22.0,7.52,3.385,3.385
479,2.0,12.29,2.66,2.66
480,9.0,46.9,4.023,4.023
481,,0.0,,
482,50.0,8.05,4.062,4.062
483,63.0,9.586,4.285,4.285
484,25.0,91.06,4.754,4.754
485,,25.47,,
486,35.0,90.0,4.83,4.83
487,58.0,29.7,4.473,4.473
488,30.0,8.05,3.639,3.639
489,9.0,15.9,3.215,3.215
490,,19.97,,
491,21.0,7.25,3.342,3.342
492,55.0,30.5,4.45,4.45
493,71.0,49.5,4.793,4.793
494,21.0,8.05,3.37,3.37
495,,14.46,,
496,54.0,78.25,4.887,4.887
497,,15.1,,
498,25.0,151.5,5.17,5.17
499,24.0,7.797,3.459,3.459
500,17.0,8.664,3.244,3.244
501,21.0,7.75,3.36,3.36
502,,7.63,,
503,37.0,9.586,3.842,3.842
504,16.0,86.5,4.63,4.63
505,18.0,108.9,4.844,4.844
506,33.0,26.0,4.08,4.08
507,,26.55,,
508,28.0,22.53,3.922,3.922
509,26.0,56.5,4.414,4.414
510,29.0,7.75,3.604,3.604
511,,8.05,,
512,36.0,26.28,4.133,4.133
513,54.0,59.4,4.73,4.73
514,24.0,7.496,3.45,3.45
515,47.0,34.03,4.395,4.395
516,34.0,10.5,3.795,3.795
517,,24.16,,
518,36.0,26.0,4.13,4.13
519,32.0,7.895,3.686,3.686
520,30.0,93.5,4.816,4.816
521,22.0,7.895,3.398,3.398
522,,7.227,,
523,44.0,57.97,4.625,4.625
524,,7.23,,
525,40.5,7.75,3.877,3.877
526,50.0,10.5,4.1,4.1
527,,221.8,,
528,39.0,7.926,3.848,3.848
529,23.0,11.5,3.541,3.541
530,2.0,26.0,3.332,3.332
531,,7.23,,
532,17.0,7.23,3.188,3.188
533,,22.36,,
534,30.0,8.664,3.654,3.654
535,7.0,26.25,3.504,3.504
536,45.0,26.55,4.27,4.27
537,30.0,106.44,4.914,4.914
538,,14.5,,
539,22.0,49.5,4.27,4.27
540,36.0,71.0,4.67,4.67
541,9.0,31.28,3.695,3.695
542,11.0,31.28,3.744,3.744
543,32.0,26.0,4.06,4.06
544,50.0,106.44,5.05,5.05
545,64.0,26.0,4.5,4.5
546,19.0,26.0,3.807,3.807
547,,13.86,,
548,33.0,20.53,3.98,3.98
549,8.0,36.75,3.8,3.8
550,17.0,110.9,4.85,4.85
551,27.0,26.0,3.97,3.97
552,,7.83,,
553,22.0,7.227,3.375,3.375
554,22.0,7.773,3.395,3.395
555,62.0,26.55,4.484,4.484
556,48.0,39.6,4.473,4.473
557,,227.5,,
558,39.0,79.6,4.777,4.777
559,36.0,17.4,3.979,3.979
560,,7.75,,
561,40.0,7.895,3.87,3.87
562,28.0,13.5,3.727,3.727
563,,8.05,,
564,,8.05,,
565,24.0,24.16,3.875,3.875
566,19.0,7.895,3.291,3.291
567,29.0,21.08,3.914,3.914
568,,7.23,,
569,32.0,7.855,3.686,3.686
570,62.0,10.5,4.285,4.285
571,53.0,51.47,4.65,4.65
572,36.0,26.39,4.133,4.133
573,,7.75,,
574,16.0,8.05,3.18,3.18
575,19.0,14.5,3.512,3.512
576,34.0,13.0,3.85,3.85
577,39.0,55.9,4.555,4.555
578,,14.46,,
579,32.0,7.926,3.688,3.688
580,25.0,30.0,4.008,4.008
581,39.0,110.9,5.01,5.01
582,54.0,26.0,4.383,4.383
583,36.0,40.12,4.332,4.332
584,,8.71,,
585,18.0,79.6,4.582,4.582
586,47.0,15.0,4.13,4.13
587,60.0,79.2,4.938,4.938
588,22.0,8.05,3.402,3.402
589,,8.05,,
590,35.0,7.125,3.74,3.74
591,52.0,78.25,4.87,4.87
592,47.0,7.25,3.994,3.994
593,,7.75,,
594,37.0,26.0,4.145,4.145
595,36.0,24.16,4.098,4.098
596,,33.0,,
597,49.0,0.0,3.893,3.893
598,,7.227,,
599,49.0,56.94,4.664,4.664
600,24.0,27.0,3.932,3.932
601,,7.895,,
602,,42.4,,
603,44.0,8.05,3.953,3.953
604,35.0,26.55,4.12,4.12
605,36.0,15.55,3.943,3.943
606,30.0,7.895,3.635,3.635
607,27.0,30.5,4.05,4.05
608,22.0,41.6,4.152,4.152
609,40.0,153.5,5.266,5.266
610,39.0,31.28,4.254,4.254
611,,7.05,,
612,,15.5,,
613,,7.75,,
614,35.0,8.05,3.762,3.762
615,24.0,65.0,4.49,4.49
616,34.0,14.4,3.879,3.879
617,26.0,16.1,3.74,3.74
618,4.0,39.0,3.762,3.762
619,26.0,10.5,3.598,3.598
620,27.0,14.45,3.725,3.725
621,42.0,52.56,4.55,4.55
622,20.0,15.74,3.576,3.576
623,21.0,7.855,3.361,3.361
624,21.0,16.1,3.613,3.613
625,61.0,32.3,4.535,4.535
626,57.0,12.35,4.24,4.24
627,21.0,77.94,4.594,4.594
628,26.0,7.895,3.523,3.523
629,,7.734,,
630,80.0,30.0,4.7,4.7
631,51.0,7.055,4.062,4.062
632,32.0,30.5,4.137,4.137
633,,0.0,,
634,9.0,27.9,3.607,3.607
635,28.0,13.0,3.713,3.713
636,32.0,7.926,3.688,3.688
637,31.0,26.25,4.047,4.047
638,41.0,39.7,4.39,4.39
639,,16.1,,
640,20.0,7.855,3.326,3.326
641,24.0,69.3,4.535,4.535
642,2.0,27.9,3.398,3.398
643,,56.5,,
644,0.75,19.27,2.996,2.996
645,48.0,76.75,4.824,4.824
646,19.0,7.895,3.291,3.291
647,56.0,35.5,4.516,4.516
648,,7.55,,
649,23.0,7.55,3.42,3.42
650,,7.895,,
651,18.0,23.0,3.713,3.713
652,21.0,8.43,3.383,3.383
653,,7.83,,
654,18.0,6.75,3.209,3.209
655,24.0,73.5,4.58,4.58
656,,7.895,,
657,32.0,15.5,3.861,3.861
658,23.0,13.0,3.584,3.584
659,58.0,113.25,5.145,5.145
660,50.0,133.6,5.215,5.215
661,40.0,7.227,3.855,3.855
662,47.0,25.6,4.285,4.285
663,36.0,7.496,3.773,3.773
664,20.0,7.926,3.33,3.33
665,32.0,73.5,4.66,4.66
666,25.0,13.0,3.637,3.637
667,,7.773,,
668,43.0,8.05,3.934,3.934
669,,52.0,,
670,40.0,39.0,4.37,4.37
671,31.0,52.0,4.418,4.418
672,70.0,10.5,4.387,4.387
673,31.0,13.0,3.785,3.785
674,,0.0,,
675,18.0,7.773,3.25,3.25
676,24.5,8.05,3.482,3.482
677,18.0,9.84,3.326,3.326
678,43.0,46.9,4.5,4.5
679,36.0,512.5,6.31,6.31
680,,8.14,,
681,27.0,76.75,4.64,4.64
682,20.0,9.23,3.375,3.375
683,14.0,46.9,4.11,4.11
684,60.0,39.0,4.594,4.594
685,25.0,41.6,4.2,4.2
686,14.0,39.7,3.982,3.982
687,19.0,10.17,3.373,3.373
688,18.0,7.797,3.25,3.25
689,15.0,211.4,5.42,5.42
690,31.0,57.0,4.477,4.477
691,4.0,13.414,2.857,2.857
692,,56.5,,
693,25.0,7.227,3.473,3.473
694,60.0,26.55,4.46,4.46
695,52.0,13.5,4.184,4.184
696,44.0,8.05,3.953,3.953
697,,7.734,,
698,49.0,110.9,5.074,5.074
699,42.0,7.65,3.904,3.904
700,18.0,227.5,5.504,5.504
701,35.0,26.28,4.117,4.117
702,18.0,14.45,3.48,3.48
703,25.0,7.742,3.488,3.488
704,26.0,7.855,3.521,3.521
705,39.0,26.0,4.176,4.176
706,45.0,13.5,4.07,4.07
707,42.0,26.28,4.223,4.223
708,22.0,151.5,5.156,5.156
709,,15.24,,
710,24.0,49.5,4.297,4.297
711,,26.55,,
712,48.0,52.0,4.605,4.605
713,29.0,9.484,3.65,3.65
714,52.0,13.0,4.176,4.176
715,19.0,7.65,3.283,3.283
716,38.0,227.5,5.582,5.582
717,27.0,10.5,3.625,3.625
718,,15.5,,
719,33.0,7.773,3.709,3.709
720,6.0,33.0,3.664,3.664
721,17.0,7.055,3.18,3.18
722,34.0,13.0,3.85,3.85
723,50.0,13.0,4.145,4.145
724,27.0,53.1,4.383,4.383
725,20.0,8.664,3.355,3.355
726,30.0,21.0,3.932,3.932
727,,7.74,,
728,25.0,26.0,3.932,3.932
729,25.0,7.926,3.494,3.494
730,29.0,211.4,5.48,5.48
731,11.0,18.78,3.395,3.395
732,,0.0,,
733,23.0,13.0,3.584,3.584
734,23.0,13.0,3.584,3.584
735,28.5,16.1,3.797,3.797
736,48.0,34.38,4.41,4.41
737,35.0,512.5,6.305,6.305
738,,7.895,,
739,,7.895,,
740,,30.0,,
741,36.0,78.9,4.742,4.742
742,21.0,262.5,5.65,5.65
743,24.0,16.1,3.691,3.691
744,31.0,7.926,3.662,3.662
745,70.0,71.0,4.95,4.95
746,16.0,20.25,3.59,3.59
747,30.0,13.0,3.762,3.762
748,19.0,53.1,4.277,4.277
749,31.0,7.75,3.656,3.656
750,4.0,23.0,3.295,3.295
751,6.0,12.48,2.916,2.916
752,33.0,9.5,3.75,3.75
753,23.0,7.895,3.43,3.43
754,48.0,65.0,4.727,4.727
755,0.67,14.5,2.719,2.719
756,28.0,7.797,3.578,3.578
757,18.0,11.5,3.385,3.385
758,34.0,8.05,3.738,3.738
759,33.0,86.5,4.785,4.785
760,,14.5,,
761,41.0,7.125,3.873,3.873
762,20.0,7.23,3.305,3.305
763,36.0,120.0,5.05,5.05
764,16.0,7.773,3.168,3.168
765,51.0,77.94,4.86,4.86
766,,39.6,,
767,30.5,7.75,3.645,3.645
768,,24.16,,
769,32.0,8.36,3.697,3.697
770,24.0,9.5,3.512,3.512
771,48.0,7.855,4.023,4.023
772,57.0,10.5,4.21,4.21
773,,7.227,,
774,54.0,23.0,4.344,4.344
775,18.0,7.75,3.248,3.248
776,,7.75,,
777,5.0,12.48,2.861,2.861
778,,7.74,,
779,43.0,211.4,5.54,5.54
780,13.0,7.23,3.008,3.008
781,17.0,57.0,4.305,4.305
782,29.0,30.0,4.08,4.08
783,,23.45,,
784,25.0,7.05,3.467,3.467
785,25.0,7.25,3.473,3.473
786,18.0,7.496,3.238,3.238
787,8.0,29.12,3.615,3.615
788,1.0,20.58,3.072,3.072
789,46.0,79.2,4.83,4.83
790,,7.75,,
791,16.0,26.0,3.738,3.738
792,,69.56,,
793,,30.7,,
794,25.0,7.895,3.494,3.494
795,39.0,13.0,3.951,3.951
796,49.0,25.92,4.316,4.316
797,31.0,8.68,3.682,3.682
798,30.0,7.23,3.617,3.617
799,30.0,24.16,3.992,3.992
800,34.0,13.0,3.85,3.85
801,31.0,26.25,4.047,4.047
802,11.0,120.0,4.875,4.875
803,0.42,8.516,2.19,2.19
804,27.0,6.977,3.525,3.525
805,31.0,7.773,3.658,3.658
806,39.0,0.0,3.664,3.664
807,18.0,7.773,3.25,3.25
808,39.0,13.0,3.951,3.951
809,33.0,53.1,4.457,4.457
810,26.0,7.887,3.523,3.523
811,39.0,24.16,4.145,4.145
812,35.0,10.5,3.818,3.818
813,6.0,31.28,3.62,3.62
814,30.5,8.05,3.652,3.652
815,,0.0,,
816,23.0,7.926,3.432,3.432
817,31.0,37.0,4.22,4.22
818,43.0,6.45,3.9,3.9
819,10.0,27.9,3.635,3.635
820,52.0,93.5,4.98,4.98
821,27.0,8.664,3.574,3.574
822,38.0,0.0,3.637,3.637
823,27.0,12.48,3.676,3.676
824,2.0,39.7,3.73,3.73
825,,6.95,,
826,,56.5,,
827,1.0,37.0,3.639,3.639
828,,7.75,,
829,62.0,80.0,4.957,4.957
830,15.0,14.45,3.383,3.383
831,0.83,18.75,2.975,2.975
832,,7.23,,
833,23.0,7.855,3.43,3.43
834,18.0,8.3,3.27,3.27
835,39.0,83.2,4.805,4.805
836,21.0,8.664,3.39,3.39
837,,8.05,,
838,32.0,56.5,4.484,4.484
839,,29.7,,
840,20.0,7.926,3.33,3.33
841,16.0,10.5,3.277,3.277
842,30.0,31.0,4.11,4.11
843,34.5,6.438,3.713,3.713
844,17.0,8.664,3.244,3.244
845,42.0,7.55,3.902,3.902
846,,69.56,,
847,35.0,7.895,3.758,3.758
848,28.0,33.0,4.11,4.11
849,,89.1,,
850,4.0,31.28,3.562,3.562
851,74.0,7.773,4.402,4.402
852,9.0,15.24,3.188,3.188
853,16.0,39.4,4.016,4.016
854,44.0,26.0,4.25,4.25
855,18.0,9.35,3.309,3.309
856,45.0,164.9,5.348,5.348
857,51.0,26.55,4.35,4.35
858,24.0,19.27,3.768,3.768
859,,7.23,,
860,41.0,14.11,4.008,4.008
861,21.0,11.5,3.48,3.48
